Player,Url,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 8,Week 18,Week 19,Week 20
Travaris Cadet,CadeTr00,nor,,,,,,,,,,Q,,,,,,,,,,
Tony Carter,CartTo99,nor,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ken Crawley,CrawKe02,nor,,,,,,,,,,,,,,,,O,,,,
Tyeler Davison,DaviTy01,nor,,,Q,Q,,,,,,,,,,,,,,,,
Dannell Ellerbe,ElleDa99,nor,O,O,Q,Q,,,,,Q,,,,,,Q,Q,Q,,,
Obum Gwacham,GwacOb00,nor,,,,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Erik Harris,HarrEr00,nor,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Josh Hill,HillJo02,nor,,O,Q,O,,,,,,,,,IR,IR,IR,IR,,,,
Michael Hoomanawanui,HoomMi00,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mark Ingram,IngrMa01,nor,,,,,,,,,,,,,Q,,,,,,,
Cameron Jordan,JordCa00,nor,,,Q,,,,,,,,,,,,,,,,,
Senio Kelemete,KeleSe00,nor,,,,O,,,,,,,,,Q,,,,Q,,,
Shiloh Keo,KeoxSh00,nor,,,,,,,,,,,,,Q,,,,,,,
Hau'oli Kikaha,KikaHa00,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
John Kuhn,KuhnJo00,nor,,,,,,,,,,,,,,,Q,,,,,
Jake Lampman,LampJa00,nor,,,,,,,,,,,,,,,,,O,,,
Daniel Lasco,LascDa00,nor,,,,,,,,,Q,O,,,Q,,,,Q,,,
James Laurinaitis,LaurJa99,nor,,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Chris Manhertz,ManhCh00,nor,Q,,,,,,,,,,,,,,,,,,,
Michael Mauti,MautMi00,nor,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Sterling Moore,MoorSt00,nor,,,,,,,,,,,,,,,,,O,,,
Andrus Peat,PeatAn00,nor,,,,,,,,,,,,,,,,,Q,,,
