Player,Url,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 8,Week 18,Week 19,Week 20
Darren McFadden,McFaDa00,dal,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,,,Q,IR,,,
Kellen Moore,MoorKe02,dal,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Mark Nzeocha,NzeoMa00,dal,O,O,D,Q,Q,,,,,,,,,,,,,,,
Tony Romo,RomoTo00,dal,O,O,O,O,O,,,O,,Q,,,,,,,O,,,
Orlando Scandrick,ScanOr99,dal,,Q,Q,Q,Q,,,,,,,,,,,,Q,,,
Jaylon Smith,SmitJa05,dal,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Tyron Smith,SmitTy00,dal,,,Q,Q,Q,,,Q,,Q,Q,Q,,,,O,Q,Q,,
Geoff Swaim,SwaiGe00,dal,,Q,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,,
Charles Tapper,TappCh00,dal,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Josh Thomas,ThomJo01,dal,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Cedric Thornton,ThorCe00,dal,,,,,,,,,,,,,,,,O,,Q,,
Kyle Wilber,WilbKy00,dal,,,,,,,,,,,,,,,,,Q,,,
J.J. Wilcox,WilcJ.00,dal,,,,,,,,,,,,O,,,,,,,,
Jason Witten,WittJa00,dal,,,,,,,,,,,,,,,,,Q,,,
Jahleel Addae,AddaJa00,sdg,,,O,O,O,O,,,,,,,,,,,D,,,
Keenan Allen,AlleKe00,sdg,,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Jeremiah Attaochu,AttaJe00,sdg,,,,,,,,,,,,IR,IR,IR,IR,IR,O,,,
Rasheed Bailey,BailRa00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Joe Barksdale,BarkJo00,sdg,,,,Q,Q,Q,,,,,,,,,,,,,,
Travis Benjamin,BenjTr00,sdg,,,,,,,,,,,Q,,,,,,Q,,,
Joey Bosa,BosaJo00,sdg,,O,O,O,,,,,,,,,,,,,,,,
Jatavis Brown,BrowJa05,sdg,,,,Q,,,,,,,O,,Q,,,,,,,
Jeremy Butler,ButlJe01,sdg,,,,,,,,,,,Q,,,,Q,,,,,
Zamir Carlis,CarlZa00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Terrell Chestnut,ChesTe00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Donavon Clark,ClarDo00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Asante Cleveland,ClevAs00,sdg,,,,,,,,,,,O,,,,,,,,,
Jeff Cumberland,CumbJe00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Matt Daniels,DaniMa00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
King Dunlap,DunlKi20,sdg,,,,D,Q,,,,,,,,,,Q,,,,,
Nick Dzubnar,DzubNi00,sdg,,,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Kenneth Farrow,FarrKe02,sdg,,,,,,,,,,,,,,,,IR,,,,
Brandon Flowers,FlowBr99,sdg,,,,O,O,O,,,,,IR,IR,IR,IR,IR,IR,,,,
Orlando Franklin,FranOr00,sdg,,,Q,Q,,Q,,,,,,,Q,,Q,,,,,
Antonio Gates,GateAn00,sdg,,,D,D,Q,,,,,,,,,,,,,,,
Melvin Gordon,GordMe00,sdg,,,,,,,,,,,,,,,O,,,,,
Chris Hairston,HairCh00,sdg,,,,,,Q,,,,,,,,,,,,,,
Hunter Henry,HenrHu00,sdg,,,,,,,,,,,,,,,,,Q,,,
Javontee Herndon,HernJa00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Steve Johnson,JohnSt00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Tyler Johnstone,JohnTy01,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Sean Lissemore,LissSe99,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Craig Mager,MageCr00,sdg,,,,,Q,Q,,,,,,,,IR,IR,IR,O,,,
Tyler Marcordes,MarcTy00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Dexter McCluster,McClDe00,sdg,,,,,,Q,,IR,IR,,IR,IR,IR,IR,IR,IR,,,,
Brandon Mebane,MebaBr99,sdg,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,
Branden Oliver,OlivBr01,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Denzel Perryman,PerrDe00,sdg,,,,,Q,Q,,,,,,,,,,,Q,,,
Shaq Petteway,PettSh00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Caraun Reid,ReidCa00,sdg,,,,,,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Manti Te'o,TeoxMa00,sdg,,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Chris Watt,WattCh00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Tourek Williams,WillTo00,sdg,,,,,,,,,,,Q,,,,,,,,,
Tyrell Williams,WillTy00,sdg,,,,,,,,,,,,,,,,,Q,,,
Danny Woodhead,WoodDa02,sdg,,,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Carlos Wray,WrayCa00,sdg,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
C.J. Anderson,AndeC.00,den,,,,,,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Kapri Bibbs,BibbKa00,den,,,,,,,,,,,,,IR,IR,IR,IR,,,,
Sam Brenner,BrenSa01,den,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Marlon Brown,BrowMa00,den,,,,,,,,,,,,,IR,IR,IR,IR,,,,
A.J. Derby,DerbA.00,den,,,,,,,,,,,,,,,,O,,,,
James Ferentz,FereJa00,den,Q,,,,,,,,,,,,,,,,,,,
Bennie Fowler,FowlBe00,den,O,O,Q,,,,,,,,,O,Q,,,,,,,
Garrett Graham,GrahGa00,den,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Virgil Green,GreeVi00,den,,,O,O,Q,,,,,,,,,,,,,,,
Jeff Heuerman,HeueJe00,den,Q,,,,,,,,,,,,,,,,,,,
Andy Janovich,JanoAn00,den,,,,,,,,,,,,O,IR,IR,IR,IR,,,,
Shiloh Keo,KeoxSh00,den,,,,Q,Q,,,,,,,,,,,,,,,
Casey Kreiter,KreiCa00,den,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,
Brandon Marshall,MarsBr01,den,,,,,,,,Q,,,,,O,,,Q,Q,,,
Corey Nelson,NelsCo00,den,,,Q,,,,,,,,,,,,,,,,,
Matt Paradis,ParaMa00,den,,,,,,,,Q,,,,,,,,,Q,,,
Ty Sambrailo,SambTy00,den,Q,Q,,,,,,,,,,,,,,,,,,
Trevor Siemian,SiemTr00,den,,,,,Q,Q,,,,,,O,Q,,,,,,,
Justin Simmons,SimmJu00,den,,,Q,Q,,,,,,,,,,,,,,,,
Donald Stephenson,StepDo00,den,,,O,O,Q,,,,,,,,,,,,,,,
Aqib Talib,TaliAq99,den,,,,,,,,O,O,,,,,,,,Q,,,
Demaryius Thomas,ThomDe03,den,,Q,,,,,,,,,,,,,,,,,,
Vance Walker,WalkVa99,den,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
T.J. Ward,WardT.99,den,,,,,,,,,,,,,,,,O,,,,
DeMarcus Ware,WareDe99,den,,,O,O,O,O,,,,,,,,,,O,Q,,,
Dekoda Watson,WatsDe99,den,,,Q,,,,,,,,,,,,,,,,,
Kayvon Webster,WebsKa00,den,,,,,O,Q,,Q,,,,,,,,O,,,,
Derek Wolfe,WolfDe00,den,,Q,,,,,,,O,,,,,,,O,,,,
Vadal Alexander,AlexVa00,rai,,,,,,,,Q,,,,,,,,,Q,,,
Nate Allen,AlleNa99,rai,,,,O,O,,,,,,,,,,,,,O,,
David Amerson,AmerDa00,rai,,,Q,,,,,,,,,,,,,,,,,
Neiron Ball,BallNe00,rai,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Shilique Calhoun,CalhSh00,rai,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,IR,,
Derek Carr,CarrDe02,rai,,,,,,,,,,,,,,,,O,,O,,
Amari Cooper,CoopAm00,rai,,,,,,,,Q,,,,,,,Q,Q,,Q,,
James Cowser,CowsJa00,rai,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,,IR,,,
Michael Crabtree,CrabMi00,rai,,,,,,,,,,,,,,,Q,Q,,Q,,
Mario Edwards,EdwaMa01,rai,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,IR,,,
D.J. Hayden,HaydDJ00,rai,,,,,,,,,,,,IR,IR,IR,IR,IR,,IR,,
Ben Heeney,HeenBe00,rai,,,,,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Andre Holmes,HolmAn00,rai,,,,,,,,,,,,,,,,Q,Q,Q,,
Gabe Holmes,HolmGa00,rai,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Austin Howard,HowaAu20,rai,O,,O,O,Q,,,,,,,,,,,O,,,,
Rodney Hudson,HudsRo00,rai,,Q,Q,Q,,,,Q,,,,,,,,,,,,
Gabe Jackson,JackGa00,rai,,Q,Q,,,,,,,,,,,,,,,,,
Cory James,JameCo00,rai,,,,,,,,,,,,,Q,,,,,,,
Taiwan Jones,JoneTa00,rai,,Q,Q,Q,Q,,,Q,,,,,,,,,Q,,,
Karl Joseph,JoseKa00,rai,,,,,,,,,,,,,O,,O,D,,Q,,
Darius Latham,LathDa01,rai,,,Q,,,,,,,,,,Q,,,,,,,
Matt McCants,McCaMa00,rai,,D,O,Q,Q,,,,,,,,,,,,,,,
Stacy McGee,McGeSt01,rai,,,,,,,,O,,,,,O,,O,Q,O,,,
Matt McGloin,McGlMa01,rai,,,,,,,,,,,,,,,,,,Q,,
Latavius Murray,MurrLa00,rai,,,,,O,,,,,,,,,,,,,,,
Jamize Olawale,OlawJa00,rai,,,,,,,,Q,,,,,,,,,,,,
Kelechi Osemele,OsemKe00,rai,,,,,,,,Q,,,,,Q,,Q,Q,,Q,,
Donald Penn,PennDo20,rai,,,,,,,,,,,,,,,,,,O,,
Jalen Richard,RichJa01,rai,,,,,,,,,,,,,,,,Q,,,,
Perry Riley,RilePe00,rai,,,,,,,,,,,,,,,Q,Q,,,,
Lee Smith,SmitLe00,rai,,,,,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Malcolm Smith,SmitMa02,rai,,,,,Q,,,,,,,,,,Q,Q,,Q,,
Sean Smith,SmitSe99,rai,,,,,,,,Q,,,,,,,,,,,,
Brynden Trawick,TrawBr00,rai,,,,,,,,,,,,,,,,,Q,,,
Clive Walford,WalfCl00,rai,,,,,Q,,,,,,,,,,,,,,,
Jihad Ward,WardJi02,rai,,,Q,,,,,,,,,,,,,,,,,
Menelik Watson,WatsMe00,rai,,D,Q,O,O,,,Q,,,,,,,,,Q,,,
Dan Williams,WillDa99,rai,,,,,,,,,,,,,,,Q,,,,,
Allen Bailey,BailAl00,kan,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Sam Barrington,BarrSa00,kan,,O,O,,,,,,,,,,,,,,,,,
Jamaal Charles,CharJa00,kan,D,D,D,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Jordan Devey,DeveJo00,kan,,,,,,,,,,,,,,,,,O,,,
Laurent Duvernay-Tardif,DuveLa00,kan,,O,Q,,,,,,,,,,,,,,,,,
Parker Ehinger,EhinPa00,kan,,O,O,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Dee Ford,FordDe00,kan,,,,,,,,,,,,Q,,,,,,,,
Phillip Gaines,GainPh00,kan,,,Q,Q,,,,,,Q,,,,,,,,,,
Tamba Hali,HaliTa20,kan,,,,Q,,,,,,,,,,,,,,,,
Justin Houston,HousJu00,kan,IR,IR,IR,IR,,IR,IR,IR,O,Q,,Q,,,IR,IR,IR,,,
Jaye Howard,HowaJa00,kan,,,,,,,,Q,O,IR,IR,IR,IR,IR,IR,IR,,IR,,
Derrick Johnson,JohnDe25,kan,,,,,,,,,Q,Q,,,,IR,IR,IR,,IR,,
Jeremy Maclin,MaclJe00,kan,,,,,,,,Q,O,O,,Q,,,,,,,,
Justin March-Lillard,MarcJu00,kan,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Josh Mauga,MaugJo00,kan,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Trey Millard,MillTr00,kan,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Dadi Nicolas,NicoDa00,kan,,,,,,,,,,,,,,,,,,IR,,
Marcus Peters,PeteMa00,kan,,,,,,,,,,Q,,,,,,,,,,
Dontari Poe,PoexDo00,kan,,,,,,,,,,Q,,Q,Q,,,,,,,
Jah Reid,ReidJa00,kan,,,O,O,,,,,,,,,,,,,,,,
Kendall Reyes,ReyeKe00,kan,,,,,,,,,,,,Q,Q,,,,,,,
Mitchell Schwartz,SchwMi00,kan,,,,,,,,,,,,,,,,,Q,,,
Alex Smith,SmitAl03,kan,,,,,,,,O,,,,,,,,,,,,
Spencer Ware,WareSp00,kan,,,,,,,,O,,,,,,,,,,,,
Charcandrick West,WestCh01,kan,,,,O,,,,,,,,,,,,,,,,
D.J. White,WhitD.00,kan,,,,,,,,O,D,,,,,,,,O,,,
James Winchester,WincJa00,kan,,,,,,,,,,Q,,,,,,,,,,
Prince Amukamara,AmukPr00,jax,,O,Q,,,,,,,,,,,,,,,,,
Kelvin Beachum,BeacKe00,jax,,,O,,,,,,,,,,,,,,,,,
Arrelious Benn,BennAr00,jax,,,,,,,,,,,Q,,,,O,,,,,
Michael Bennett,BennMi01,jax,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Luke Bowanko,BowaLu00,jax,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,,
Arthur Brown,BrowAr00,jax,,,,,,,,,Q,,,,,,,,,,,
Aaron Colvin,ColvAa00,jax,,,,,,,,Q,,,Q,,,,IR,IR,,,,
Tashaun Gipson,GipsTa00,jax,,,Q,,,,,,Q,,,,,,,,,,,
Corey Grant,GranCo00,jax,,,,,,Q,,,,,,,,,,,,,,
Rashad Greene,GreeRa00,jax,,,,,,Q,,,,,,O,IR,IR,IR,IR,,,,
Jordan Hill,HillJo01,jax,,,,,,,,,,,,,,,O,O,,,,
Allen Hurns,HurnAl01,jax,,,,,,,,,Q,,,O,O,,O,Q,,,,
Chris Ivory,IvorCh00,jax,Q,O,Q,,,,,,,,,O,Q,,,Q,,,,
Luke Joeckel,JoecLu00,jax,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Abry Jones,JoneAb00,jax,,,,,,,,,,,Q,,,,,,,,,
Ben Koyack,KoyaBe00,jax,,,O,O,,,,,,,,,,,,,,,,
Marqise Lee,LeexMa00,jax,,,,,,,,,,,,,,,,Q,,,,
Marcedes Lewis,LewiMa00,jax,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,
Brandon Linder,LindBr00,jax,,,Q,,,,,,,,,,Q,,,,,,,
Jeff Linkenbach,LinkJe20,jax,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Roy Miller,MillRo99,jax,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Yannick Ngakoue,NgakYa00,jax,,,,,,,,,,,,Q,,,,,,,,
Jared Odrick,OdriJa99,jax,Q,,Q,O,,,,O,,,IR,IR,O,IR,IR,IR,Q,,,
Patrick Omameh,OmamPa00,jax,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,
Sean Porter,PortSe00,jax,,,,,,,,,,,,,,,O,,,,,
Jeremiah Poutasi,PoutJe00,jax,,,,,,,,,,,,,,,IR,IR,,,,
Chris Reed,ReedCh00,jax,,,,,,,,,,,,,,IR,IR,IR,,,,
Denard Robinson,RobiDe00,jax,,,,,,,,,,,,,O,,O,,,,,
James Sample,SampJa00,jax,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Dan Skuta,SkutDa00,jax,,,,Q,,,,,,Q,O,,Q,,,,,,,
Chris Smith,SmitCh03,jax,,,,,,,,,Q,O,O,,,,,,,,,
Neal Sterling,SterNe00,jax,,,,,,Q,,,,Q,,,,,O,Q,,,,
Julius Thomas,ThomJu00,jax,,,,Q,,,,,,,IR,IR,O,IR,IR,IR,Q,,,
Peyton Thompson,ThomPe00,jax,,,,,,,,,,,,,O,,,,,,,
Bryan Walters,WaltBr00,jax,,,,,,,,,O,Q,,,,,,,,,,
Josh Wells,WellJo02,jax,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,,,IR,,IR,,,
Jonathan Woodard,WoodJo00,jax,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
T.J. Yeldon,YeldT.00,jax,,,,,,,,,,,Q,,,,,IR,,,,
Dwayne Allen,AlleDw00,clt,,,,,,,,,,,,,,,,,O,,,
Henry Anderson,AndeHe00,clt,O,O,,,,,,,,,,,,,,,O,,,
Quan Bray,BrayQu00,clt,,,,,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Darius Butler,ButlDa99,clt,O,Q,O,O,Q,,,,,,,,,,,O,,,,
Chris Carter,CartCh00,clt,,,,,,,,,,,,,,,O,Q,,,,
Trent Cole,ColeTr20,clt,,D,Q,IR,IR,IR,IR,IR,,IR,IR,,,,,,IR,,,
Antonio Cromartie,CromAn20,clt,,Q,,,,,,,,,,,,,,,,,,
Vontae Davis,DaviVo99,clt,O,O,Q,,,,,,,,Q,,,,,,,,,
Phillip Dorsett,DorsPh00,clt,,,,Q,,,,,,,,,,,,,,,,
Clayton Geathers,GeatCl00,clt,O,Q,Q,,,,,,,,IR,IR,IR,IR,IR,IR,,,,
T.J. Green,GreeT.00,clt,,O,Q,,,,,,,,,,,,,,,,,
Joe Haeg,HaegJo00,clt,Q,,,,,,,,,,,,,,,,,,,
Jonotthan Harrison,HarrJo03,clt,,,,O,O,,,,,,,,,,,,,,,
T.Y. Hilton,HiltT.00,clt,,,Q,,,,,,,,,,,,,,,,,
Arthur Jones,JoneAr22,clt,,,,,,,,,,Q,,,,IR,IR,IR,,,,
Ryan Kelly,KellRy00,clt,,,Q,,,,,,,,,,,,,,,,,
Zach Kerr,KerrZa00,clt,,Q,,,,,,,,,,,O,,,,,,,
Kendall Langford,LangKe98,clt,,Q,,,,,,IR,,O,IR,IR,IR,IR,IR,IR,IR,,,
Andrew Luck,LuckAn00,clt,,,Q,,,,,,,,O,,,,,,,,,
Curt Maggitt,MaggCu01,clt,,,,,,,,,,,,,Q,IR,IR,IR,O,,,
Robert Mathis,MathRo20,clt,,Q,,,Q,,,,,,,,O,,,,,,,
Rashaan Melvin,MelvRa00,clt,,,,,,,,,,,,,,,Q,Q,,,,
Jack Mewhort,MewhJa00,clt,Q,,,,,,,,,,,,,IR,IR,IR,O,,,
Tevin Mitchel,MitcTe01,clt,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Donte Moncrief,MoncDo00,clt,,,O,O,O,,,,,,Q,,,,,D,Q,,,
Sio Moore,MoorSi00,clt,Q,,,,,,,,,,,,,,,,,,,
Joe Reitz,ReitJo00,clt,,,,Q,Q,,,,,,,,,,Q,,,,,
Patrick Robinson,RobiPa99,clt,,O,O,,,,,,,D,,IR,IR,IR,IR,IR,,,,
Chester Rogers,RogeCh02,clt,,,,,,,,,,,,,,,,,O,,,
D'Joun Smith,SmitDJ00,clt,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,,IR,,,
Dezmen Southward,SoutDe00,clt,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ron Thompson,ThomRo06,clt,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Hugh Thornton,ThorHu00,clt,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Robert Turbin,TurbRo00,clt,,,,,Q,,,,,,,,,,,,,,,
Frankie Williams,WillFr05,clt,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,
Andrew Williamson,WillAn02,clt,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mehdi Abdesmad,AbdeMe00,oti,,,,,,,,,,,,,,,,IR,,,,
Jace Amaro,AmarJa00,oti,,,,,Q,,,,,,,,,,,,,,,
Jurrell Casey,CaseJu00,oti,,,,,,,,,,,,,Q,,,,,,,
Perrish Cox,CoxxPe99,oti,,,,,,,,,,,,,,,,,O,,,
Kevin Dodd,DoddKe00,oti,,,,,,,,,,,,,IR,IR,IR,IR,Q,,,
Andy Gallik,GallAn00,oti,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Rashad Johnson,JohnRa98,oti,,,,,,,,,,,,,,,,,O,,,
Karl Klug,KlugKa00,oti,,,,,,,,,,,,,,,IR,IR,,,,
Marcus Mariota,MariMa01,oti,,,,,,,,,,,,,,,,IR,,,,
Josue Matias,MatiJo01,oti,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Jason McCourty,McCoJa99,oti,,,,,,,,,,,,,,,O,Q,,,,
Derrick Morgan,MorgDe99,oti,,O,Q,,,,,,,,,,,,,,,,,
Bennett Okotcha,OkotBe01,oti,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Nate Palmer,PalmNa01,oti,,,,Q,,,,,,,,,,,,,,,,
Cody Riggs,RiggCo00,oti,,,,O,O,,,,,,,,,,,,,,,
Da'Norris Searcy,SearDa00,oti,,,,O,O,,,,,,,,,,,,,,,
Tajae Sharpe,SharTa00,oti,,,,,,,,,,,,,,,,,Q,,,
Quinton Spain,SpaiQu00,oti,,,,,,,,,,,,,,,,,O,,,
Sean Spence,SpenSe00,oti,,,,,,,,,,,,,,,Q,,,,,
Daimion Stafford,StafDa00,oti,,,,,,,,,,,Q,,,,,,,,,
Phillip Supernaw,SupePh00,oti,,,,,,,,,,,O,,,,,,,,,
Delanie Walker,WalkHu00,oti,,,Q,Q,,,,,,,,,,,,,,,,
Chance Warmack,WarmCh00,oti,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Al Woods,WoodAl99,oti,,,,,O,,,,,,,,,,,,,,,
Kendall Wright,WrigKe01,oti,O,O,Q,,,,,,,,,,,,,,,,,
Jeff Allen,AlleJe01,htx,,Q,,,,,,,,,,,,,,,,,,
Stephen Anderson,AndeSt01,htx,,,,O,O,,,,,,,,,,,,,,,
Lonnie Ballentine,BallLo00,htx,IR,IR,IR,IR,IR,IR,,,O,IR,IR,IR,IR,IR,IR,IR,,IR,IR,
Alfred Blue,BlueAl00,htx,,,,,,,,,,,O,Q,,,,,,,,
A.J. Bouye,BouyA.00,htx,,,,,,,,,Q,,,,,,,,,,,
Duane Brown,BrowDu20,htx,O,O,O,O,Q,,,,,,,,,,,,,,,
Jadeveon Clowney,ClowJa00,htx,,,,,,,,,,,,Q,Q,,,O,Q,,,
Christian Covington,CoviCh00,htx,,Q,,,,,,,,,,,,,,,,,,
Brian Cushing,CushBr99,htx,,O,O,Q,,,,,,,,Q,Q,,,Q,,,,
Quintin Demps,DempQu99,htx,,,,Q,,,,,,,,,,,,,Q,,Q,
K.J. Dillon,DillK.00,htx,,,,,,,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Kurtis Drummond,DrumKu01,htx,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Tyler Ervin,ErviTy00,htx,,,,,,,,,,,O,O,O,,,,,,,
Ka'imi Fairbairn,FairKa01,htx,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Dalton Freeman,FreeDa00,htx,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Will Fuller,FullWi01,htx,,,,,,,,,Q,,,,,,,,,,,
Jonathan Grimes,GrimJo01,htx,,,,O,O,,,,Q,,,,,,,,Q,,,
Andre Hal,HalxAn00,htx,,,,,,,,,,,,Q,,,,,,,,
Kareem Jackson,JackKa99,htx,,,,,Q,,,,,,,,,,,,,,,
Kevin Johnson,JohnKe04,htx,,,,,,,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Johnathan Joseph,JoseJo20,htx,,,,,,,,,,,,,Q,,,Q,,,,
Nick Martin,MartNi00,htx,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Braxton Miller,MillBr03,htx,,,O,O,,,,,,,,,IR,IR,IR,IR,,IR,IR,
Lamar Miller,MillLa01,htx,,,,,,,,,,,,,,,,O,Q,,,
Derek Newton,NewtDe00,htx,,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Brian Peters,PeteBr00,htx,,,,,,,,,Q,,,,,,,,O,,,
Jay Prosch,ProsJa00,htx,,,,,,,,,,,Q,,,,,O,,,,
Gerald Rivers,RiveGe00,htx,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Tom Savage,SavaTo00,htx,,,,,,,,,,,,,O,,,,,O,,
Brennan Scarlett,ScarBr00,htx,,,,,,,IR,,IR,IR,IR,IR,IR,,IR,,IR,,,
John Simon,SimoJo01,htx,,,,,,,,,,,O,O,O,,,O,,O,Q,
Devon Still,StilDe00,htx,,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
